page,scientific_name,common_name.hu
9,Valeriana officinalis officinalis,orvosi macskagyökér
,^ officinalis collina,dombi ~
10,Rosa canina,gyepűrózsa
13,Fallopia sachalinensis,szahalini óriáskeserűfű
17,Helianthus tuberosus,vadcsicsóka
18,Helianthus × laetiflorus,kései napraforgó
,^ pauciflorus,merevlevelű ~
23,Veronica hederifolia,borostyánlevelű veronika
24,Daphne cneorum,henye boroszlán
