page,scientific_name,common_name.hu
6,Vira,vírusok
,Bacteriophagineae,baktériofágok
7,Phytophagineae,növényi vírusok
,Zoophagineae,állati és emberi ~
8,Bacteria,baktéiumok
,Pseudomonadales,pszeudomonaszok
9,Chlamydobacteriales,hüvelyes baktériumok
,Eubacteriales,valódi ~
,Actinomycetales,sugárgombák
10,Algae,moszatok
,Cyanobacteria,kékbaktériumok; kék~
12,Euglenophyta,ostoros~
,Chrysophyta,sárgás~
,Xantophyceae,sárgászöld ~
,Chrysophyceae,sárga~
,Bacillariophyceae,kova~
13,Pyrrophyta,barázdás~
,Chlorophyta,zöld~
,Chlorophyceae,zöld~
,Conjugatophyceae,árom~; ostornélküli ~
,Charophyceae,csillárka~
15,Phaeophyta,barna~
,Rhodophyta,vörös~
16,Mycota,gombák
,Myxomycota,nyálka~
18,Oomycota,petespórás ~
,Chytridiomycota,rajzóspórás ~
,Zygomycota,járomspórás ~
,Ascomycota,tömlős~
19,Hemiascomycetes,őstömlősök
,Plectomycetes,tömlőspenészek
,Pyrenomycetes,maggombák
,Discomycetes,csészegombák
20,Loculoascomycetes,sztrómaüreges tömlősgombák
,Basidiomycota,bazídiumosgombák
,Teliomycetes,rozsdagombák
21,Ustomycetes,üszöggombák
,Basidiomycetes,valódi bazídiumos gombák
,Tremellales,kocsonyagomba-alkatúak
,Auriculariales,fülgomba-alkatúak
,Thelephorales,kéreggomba-alkatúak
,Clavariales,palánkagomba-alkatúak
,Hydnales,gerebengomba-alkatúak
22,Poriales,tapló-alkatúak
,Cantharellales,rókagomba-alkatúak
,Boletales,tinórúgomba-alkatúak
,Agaricales,csiperke-alkatúak
,Russulales,galambgomba-alkatúak
23,Deuteromycota,konídiumosgombák
24,Lichenes,zuzmók
26,Bryobionta,mohák
,Hepatophyta,máj~
,Bryophyta,lombos~
27,Sphagnopsida,tőzeg~
,Bryopsida,valódi lombos mohák
29,Pteridophyta,harasztok
,Lycopodiophyta,korpafüvek
,Moniliphyta,zsurlók és páfrányok
,Equisetopsida,zsurlók
30,Ophioglossopsida,kígyónyelvpáfrányok
,Polypodiopsida,valódi páfrányok
31,Gymnospermatophyta,nyitvatermők
,Magnoliophyta,zárvatermők
,Magnoliopsida,alapi helyzetű zárvatermők
,Nymphaeidae,őslágyszárúak
,Nymphaeales,tündérrózsa-virágúak
,Nymphaeaceae,tündérrózsafélék
32,Magnoliidae,magnóliaalkatúak
,Piperales,borsvirágúak
,Aristolochiaceae,farkasalmafélék
,Rosopsida,valódi kétszikűek
,Ranunculidae,alapi helyzetű valódi kétszikűek
,Ranunculales,boglárkavirágúak
,Berberidaceae,borbolyafélék
,Ranunculaceae,boglárkafélék
,Papaveraceae,mákfélék
33,Fumariaceae,füstikefélék
,Proteales,proteavirágúak
,Platanaceae,platánfélék
,Caryophyllidae,szegfűalkatúak
,Caryophyllales,szegfűvirágúak
,Phytolaccaceae,karmazsinfélék
,Amaranthaceae,disznóparéjfélék
,Chenopodiaceae,libatopfélék
34,Caryophyllaceae,szegfűfélék
,Silenoideae,habszegfűfélék
,Alsinoideae,lúdhúrfélék
,Polygonales,keserűfűvirágúak
,Polygonaceae,keserűfűfélék
,Plumbaginaceae,istácfélék
,Tamaricaceae,tamariskafélék
,Santalales,szantálfavirágúak
35,Loranthaceae,fakínfélék
,Viscaceae,fagyöngyfélék
,Rosidae,rózsaalkatúak
,Crossosomatales,krosszoszomavirágúak
,Staphyleaceae,hólyagfafélék
,Malpighiales,malpigiavirágúak
