page,scientific_name,common_name.hu
,Hypericaceae,orbáncfűfélék
,Violaceae,ibolyafélék
,Euphorbiaceae,kutyatejfélék
36,Salicaceae,fűzfafélék
,Cucurbitales,kabakvirágúak
,Cucurbitaceae,kabakfélék
,Brassicales,repcevirágúak
,Brassicaceae,keresztesvirágúak
,Ericales,erikavirágúak
,Ericaceae,erikafélék
,Pyrolaceae,körtikefélék
,Primulales,kankalinvirágúak
,Primulaceae,kankalinfélék
37,Malvales,mályvavirágúak
,Cistaceae,szuharfélék
,Malvaceae,mályvafélék
,Tiliaceae,hársfélék
,Saxifragales,kőtörőfűvirágúak
,Saxifragaceae,kőtörőfűfélék
,Crassulaceae,varjúhájfélék
38,Grossulariaceae,köszmétefélék
,Vitales,szőlővirágúak
,Vitaceae,szőlőfélék
,Rosales,rózsavirágúak
,Rosaceae,rózsafélék
,Spiraeoideae,gyöngyvesszőfélék
,Maloideae,almafélék
,Rosoideae,rózsafélék
39,Prunoideae,szilvafélék
,Cannabaceae,kenderfélék
,Urticaceae,csalánfélék
,Ulmaceae,szilfafélék
,Moraceae,eperfafélék
,Rhamnaceae,bengefélék
,Elaeagnaceae,ezüstfafélék
,Fagales,bükkfavirágúak
,Betulaceae,nyírfafélék
,Corylaceae,mogyorófélék
,Fagaceae,bükkfafélék
40,Juglandaceae,diófafélék
,Fabales,hüvelyesek
,Caesalpiniaceae,lepényfafélék
,Fabaceae,pillangósvirágúak
,Myrtales,mirtuszvirágúak
,Lythraceae,füzényfélék
,Onagraceae,ligetszépefélék
41,Trapaceae,sulyomfélék
,Sapindales,szappanfa-virágúak
,Rutaceae,rutafélék
,Simaroubaceae,bálványfafélék
,Anacardiaceae,szömörcefélék
,Sapindaceae,szappanfafélék
,Aceraceae,juharfafélék
42,Hippocastanaceae,bokrétafafélék
,Oxalidales,madársóskavirágúak
,Oxalidaceae,madársóskafélék
,Geraniales,gólyaorrvirágúak
,Geraniaceae,gólyaorrfélék
,Celastrales,kecskerágó-virágúak
,Celastraceae,kecskerágófélék
,Asteridae,forrtszirmúak
,Marcgraviales,markgraviavirágúak
,Balsaminaceae,nebáncsvirágfélék
,Cornales,somvirágúak
,Cornaceae,somfélék
,Apiales,ernyősvirágúak
43,Araliaceae,borostyánfélék
,Apiaceae,ernyősök
,Gentianales,tárnicsvirágúak
,Rubiaceae,buzérfélék
,Apocynaceae,meténgfélék
,Asclepiadaceae,selyemkórófélék
44,Dipsacales,mácsonyavirágúak
,Caprifoliaceae,loncfélék
,Adoxaceae,pézsmaboglárfélék
,Valerianaceae,macskagyökérfélék
,Dipsacaceae,mácsonyafélék
,Boraginales,borágóvirágúak
,Boraginaceae,érdeslevelűek
45,Lamiales,árvacsalán-virágúak
,Lamiaceae,ajakosok
,Scrophulariaceae,görvélyfűfélék
,Plantaginaceae,útifűfélék
46,Oleaceae,olajfafélék
,Solanales,burgonyavirágúak
,Solanaceae,burgonyafélék
,Convolvulaceae,szulákfélék
,Asterales,fészekvirágzatúak
,Campanulaceae,harangvirágfélék
,Asteraceae,fészkesek
,Cichorioideae,nyelvesvirágúak
47,Asteroideae,csövesvirágúak
,Liliopsida,egyszikűek
,Alismatidae,hídőralkatúak
,Alismatales,hídőrvirágúak
,Alismataceae,hídőrfélék
,Potamogetonaceae,békaszőlőfélék
,Araceae,kontyvirágfélék
48,Lemnaceae,békalencsefélék
,Liliidae,liliomalkatúak
,Liliales,liliomvirágúak
,Liliaceae,liliomfélék
,Asparagales,aszparáguszvirágúak
,Amaryllidaceae,amarilliszfélék
,Iridaceae,nősziromfélék
49,Orchidaceae,orchideafélék; kosborfélék
,Dioscoreales,jamszgyökérvirágúak
,Dioscoreaceae,jamszgyökérfélék
,Commelinidae,kommelinaalkatúak
,Poales,fűvirágúak
,Juncaceae,szittyófélék
,Cyperaceae,palkafélék
50,Poaceae,pázsitfűfélék
,Typhaceae,gyékényfélék
