page,scientific_name,common_name.hu
,^ cuprea,rezes ~
,Helophilus,mocsárilegyek
,^ trivittatus,nagy mocsárilégy
,^ affinis,északi ~
67,^ hybridus,hibrid ~
,^ pendulus,közönséges ~
,Heringia,hegyesszögűlegyek
,^ heringi,feketeszőrű hegyesszögűlégy
,^ senilis,világosszőrű ~
,Ischyrosyrphus,sávoslegyek
68,^ glaucius,kékesszürke sávoslégy
,^ laternarius,fehér ~
,Lejogaster,fémeslegyek
,^ metallina,fekete fémeslégy
,^ tarsata,sárgalábfejű ~
,Lejops,gyékénylegyek
69,^ vittatus,gyakori gyékénylégy
,Lejota,ártérilegyek
,^ ruficornis,fekete ártérilégy
,Leucozona,fehérpántoslegyek
70,^ lucorum,erdei fehérpántoslégy
,Mallota,gyapjaslegyek
,^ megilliformis,sárga gyapjaslégy
,^ cimbiciformis,méhszerű ~
,^ fuciformis,tarka ~
,Megasyrphus,nyiladéklegyek
71,^ erraticus,nagy nyiladéklégy
,Melangyna,tavaszilegyek
,^ quadrimaculata,négyfoltos tavaszilégy
,^ barbifrons,fűzbarka ~
,^ lasiophthalma,korai ~
72,^ umbellatarum,késői ~
,^ labiatarum,déli ~
,^ compositarum,északi ~
,Melanogaster,aranyhasúlegyek
73,^ curvistylus,ritka aranyhasúlégy
,^ nuda,kis ~
,^ hirtella,hosszúszőrű ~
,Melanostoma,fűzengőlegyek
,^ dubium,hegyvidéki fűzengőlégy
,^ scalare,hosszúpotrohú ~
74,^ mellinum,gyakori ~
,Meligramma,karcsúlegyek
,^ cincta,változékony karcsúlégy
,^ guttata,kisfoltú ~
,^ triangulifera,háromszögfoltú ~
,Meliscaeva,vékonybőrűlegyek
75,^ auricollis,változékony vékonybőrűlégy
,^ cinctella,gyakori ~
,Merodon,nárciszlegyek
,^ equestris,változékony nárciszlégy
76,^ constans,kakukkfű ~
,^ clavipes,nagy ~
,^ aberrans,hosszúpotrohú ~
,^ triangulum,hullámtéri ~
,^ armipes,kétfogú ~
,^ loewi,fémeszöld ~
,^ ruficornis,vöröscsápú ~
,^ tricinctus,ritka ~
,^ cinereus,feketesávos ~
,^ aeneus,aranysárga ~
,^ rufus,vörösszőrű ~
,^ albifrons,fehérarcú ~
77,^ avidus,sárgalábfejű ~
,^ nigritarsis,feketelábfejű ~
78,Mesembrius,mocsárlegyek
79,^ peregrinus,európai mocsárlégy
,Microdon,hangyalegyek
,^ mutabilis,vörösbarna hangyalégy
,^ devius,barna ~
,^ analis,feketegyűrűs ~
,^ miki,hosszúcsápú ~
80,Milesia,darázszengőlegyek
,^ crabroniformis,nagy darázszengőlégy
,^ semiluctifera,kis ~
81,Myathropa,halálfejeslegyek
,^ florea,halálfejes odúlégy
,Myolepta,nyárfalegyek
,^ obscura,hamvasoldalú nyárfalégy
,^ vara,fényesoldalú ~
82,^ nigritarsis,feketelábú ~
,^ dubia,sárga ~
,Neoascia,nádaslegyek
,^ podagrica,gyakori nádaslégy
,^ annexa,nyúlánk ~
83,^ tenur,mocsári ~
,^ interrupta,rövidcsápú ~
,^ obliqua,hosszúcsápú ~
,^ unifasciata,ritka ~
,^ geniculata,feketegyűrűs ~
84,^ meticulosa,fekete ~
