page,scientific_name,common_name.hu
,Adonis vernalis,tavaszi hérics
,Papaveraceae,mákfélék
,Chelidonium majus,vérehulló fecskefű
,Papaver rhoeas,pipacs
35,Corydalis cava; Corydalis bulbosa,odvas keltike
,^ solida,ujjas ~
,Cannabaceae,kenderfélék
,Humulus lupulus,komló
,Urticaceae,csalánfélék
,Urtica dioica,nagy csalán
36,Parietaria officinalis; Parietaria erecta,falgyom
,Phytolaccaceae,alkörmösfélék
,Phytolacca americana,alkörmös; karmazsinbogyó
,Chenopodiaceae,libatopfélék
,Chenopodium album,fehér libatop
,Camphorosma annua,bárányparéj
37,Amaranthaceae,disznóparéjfélék
,Amaranthus chlorostachys; Amaranthus powelii; Amaranthus hypochondriacus,karcsú disznóparéj
,Caryophyllaceae,szegfűfélék
,Viscaria vulgaris; Lychnis viscaria,enyvecske; szurokszegfű
,Lychnis flos-cuculi,réti kakukkszegfű
,Dianthus pontederae; Dianthus giganteiformis pontederae,magyar szegfű
,^ plumarius,fehér ~
,^ serotinus,fehér ~
38,Silene vulgaris; Silene cucubalus,hólyagos hab~; közönséges hab~
,Melandrium album; Silene latifolia alba,fehér mécsvirág
,^ sylvestre; ^ rubrum; Silene dioica,piros ~
,Stellaria holostea,olocsán csillaghúr
,Myosoton aquaticum,vízi~
,Stellaria media,tyúkhúr
39,Moehringia trinervia,erdei csitri
,Polygonaceae,keserűfűfélék
,Polygonum lapathifolium; Persicaria lapathifolia,széleslevelű keserűfű
40,^ aviculare,porcsin ~; madár~
,Rumex acetosella,juhsóska
,^ acetosa,mezei sóska
,Rumex sanguineus,erdei lórom
41,Fallopia japonica; Polygonum cuspidatum; Reynoutria japonica,ártéri japánkeserűfű
,Bilderdykia dumetorum; Fallopia dumetorum; Polygonum dumetorum,sövénykeserűfű
,Plumbaginaceae,kékgyökérfélék
,Limonium gmelinii; Statice gmelinii,sóvirág; sziksaláta; sziki lelleg
,Hypericaceae; Guttiferae,Orbáncfűfélék
,Hypericum perforatum,közönséges orbáncfű
42,Violaceae,ibolyafélék
,Viola odorata,Illatos ibolya
,^ sylvestris; ^ reichenbachiana,erdei ~
,^ mirabilis,csodás ~
,^ hirta,borzas ~
43,Cistaceae,szuharfélék
,Helianthemum ovatum; Helianthemum nummularium obscurum,közönséges napvirág
,Fumana procumbens,naprózsa
